Date,USD_Price,USD_Open,USD_High,USD_Low,USD_Vol.,USD_Change %
05/03/22,27.9,28.93,27.48,28.440001,28.36536,403300
05/02/22,26.190001,28.15,25.93,28.1,28.026251,246700
04/29/22,27.969999,29.1,25.98,26.059999,25.991604,186200
04/28/22,27,29.42,26.35,28.870001,28.794231,281100
04/27/22,25.59,27.16,25.52,25.940001,25.871922,308100
04/26/22,28.110001,28.200001,26.18,26.18,26.11129,255600
04/25/22,27.440001,28.799999,27.200001,28.75,28.674545,266100
04/22/22,29.15,29.540001,27.719999,27.77,27.697117,280700
04/21/22,31.91,32.84,28.85,29.129999,29.053547,292400
04/20/22,32.68,33.310001,30.99,31.24,31.15801,333500
04/19/22,30.440001,32.049999,29.959999,31.93,31.846199,215900
04/18/22,29.27,31.200001,29.27,30.639999,30.559584,182300
04/14/22,31.83,31.93,29.450001,29.5,29.422577,225400
04/13/22,30.43,31.809999,30.1,31.459999,31.377432,279000
04/12/22,31.67,32.150002,29.780001,30.1,30.021002,411400
04/11/22,31,31.35,30.379999,30.450001,30.370085,356400
04/08/22,33.549999,33.549999,32.110001,32.18,32.095543,252200
04/07/22,34.040001,34.810001,32.639999,34.130001,34.040428,210700
04/06/22,34.66,35.34,33.360001,34.119999,34.030449,339200
04/05/22,39.330002,39.34,36.130001,36.310001,36.214706,329200
04/04/22,38.52,39.959999,38.299999,39.849998,39.745411,181100
04/01/22,40.25,40.299999,37.130001,38.32,38.219429,295200
03/31/22,41.52,42.130001,39.799999,39.959999,39.855125,215400
03/30/22,43.75,44,41.150002,41.529999,41.421001,186300
03/29/22,43.900002,44.490002,42.5,44.299999,44.183735,412600
03/28/22,41.580002,42.630001,40.279999,42.610001,42.498169,410600
03/25/22,42.07,42.580002,40.610001,41.919998,41.809978,371100
03/24/22,38.619999,42.32,38.310001,42.299999,42.188984,439500
03/23/22,38.959999,40.040001,37.68,37.709999,37.611031,437500
03/22/22,39.189999,40.700001,39.049999,39.639999,39.535965,274600
03/21/22,39.09,40.029999,37.779999,39.310001,39.206833,283300
03/18/22,36.73,39.459999,36.419998,39.18,39.077171,228600
03/17/22,35.990002,37.07,35.25,37.049999,36.952763,255900
03/16/22,34.27,36.630001,33.59,36.610001,36.513916,546700
03/15/22,30.719999,33.34,30.41,33.18,33.092918,213100
03/14/22,32.029999,32.48,29.83,30.219999,30.140686,287600
03/11/22,34.689999,34.84,32.220001,32.34,32.255123,129300
03/10/22,33.919998,34.009998,32.209999,33.759998,33.671394,160500
03/09/22,34.330002,35.619999,33.75,35.139999,35.047775,194800
03/08/22,31.35,34.650002,30.450001,32.34,32.255123,309200
03/07/22,35.259998,35.439999,31.33,31.4,31.317591,445200
03/04/22,36,36.560001,34.029999,34.990002,34.89817,252900
03/03/22,38.610001,38.66,36.080002,36.580002,36.483997,211800
03/02/22,36.599998,38.610001,36.25,38.18,38.079796,194700
03/01/22,38.369999,38.66,35.099998,35.830002,35.735966,224800
02/28/22,37.779999,39.23,37.080002,38.57,38.468773,161100
02/25/22,37.43,38.619999,36.290001,38.529999,38.428875,260200
02/24/22,31.6,37.369999,31.370001,37.259998,37.162209,388600
02/23/22,37,37.790001,33.990002,34.150002,34.060375,258200
02/22/22,35.880001,37.900002,35.110001,36.150002,36.055126,398800
02/18/22,38.09,38.209999,35.48,36.700001,36.60368,214600
02/17/22,40.240002,40.360001,37.860001,37.98,37.880322,186100
02/16/22,40.689999,41.830002,39.68,41.650002,41.540691,162400
02/15/22,38.75,41.799999,38.75,41.689999,41.580582,184100
02/14/22,37.259998,38.450001,36.119999,37.23,37.13229,130900
02/11/22,41.599998,42.169998,36.389999,36.900002,36.803158,231400
02/10/22,42.060001,44.799999,41,41.439999,41.331238,198200
02/09/22,42.369999,44.380001,41.48,44.299999,44.183735,231500
02/08/22,38.73,41.27,38.5,41.049999,40.942265,145300
02/07/22,39.369999,40.41,38.950001,39.290001,39.186882,189800
02/04/22,38.380001,39.880001,37.360001,39.169998,39.067196,377100
02/03/22,40.380001,41.459999,38.380001,38.689999,38.588455,186500
02/02/22,42.330002,42.720001,40.630001,42.439999,42.328613,249700
02/01/22,40.389999,40.529999,38.209999,40.25,40.144363,278200
01/31/22,36.029999,39.580002,35.66,39.52,39.416279,222800
01/28/22,33.869999,35.630001,31.959999,35.630001,35.536491,370600
01/27/22,38.099998,38.209999,33.740002,33.990002,33.900795,193600
01/26/22,38.040001,40.310001,36,37.080002,36.982685,315400
01/25/22,36.66,37.66,35.330002,35.919998,35.825726,146700
01/24/22,36.060001,38.639999,33.25,38.630001,38.528618,1360200
01/21/22,38.639999,41.169998,37.77,37.880001,37.780586,343900
01/20/22,42.900002,43.580002,39.299999,39.43,39.326515,1498900
01/19/22,45.709999,46.349998,42.290001,42.34,42.228878,305100
01/18/22,47.5,47.610001,44.869999,45.16,45.041477,256200
01/14/22,46.490002,49.330002,46.470001,49.259998,49.130714,115700
01/13/22,51.669998,52,46.950001,47.310001,47.185837,204300
