Date,BRENT_OIL_Price,BRENT_OIL_Open,BRENT_OIL_High,BRENT_OIL_Low,BRENT_OIL_Vol.,BRENT_OIL_Change %
02/16/23,85.14,85.27,86.21,84.6,197.02K,-0.28%
02/15/23,85.38,85.2,85.85,83.88,245.98K,-0.23%
02/14/23,85.58,85.83,86.42,84.13,231.63K,-1.19%
02/13/23,86.61,86.51,86.95,85.1,207.62K,0.25%
02/10/23,86.39,84.22,86.9,83.93,297.34K,2.24%
02/09/23,84.5,84.96,85.5,83.05,260.73K,-0.69%
02/08/23,85.09,84.11,85.15,83.51,254.14K,1.67%
02/07/23,83.69,81.26,84.13,81.19,290.98K,3.33%
02/06/23,80.99,79.61,81.43,79.1,325.21K,1.31%
02/03/23,79.94,82.27,84.2,79.62,330.32K,-2.71%
02/02/23,82.17,83.34,83.61,81.25,287.09K,-0.81%
02/01/23,82.84,85.56,86.21,82.37,348.66K,-1.95%
01/31/23,84.49,85.18,85.25,83.73,11.89K,-0.48%
01/30/23,84.9,86.88,87.48,84.66,65.55K,-2.03%
01/27/23,86.66,87.65,88.95,85.69,107.08K,-0.93%
01/26/23,87.47,86.35,88.01,85.74,139.10K,1.57%
01/25/23,86.12,86.28,87,85.41,159.47K,-0.01%
01/24/23,86.13,88.07,88.71,85.8,207.75K,-2.34%
01/23/23,88.19,87.7,89.09,86.92,192.41K,0.64%
01/20/23,87.63,86.42,87.79,85.58,212.92K,1.71%
01/19/23,86.16,84.34,86.85,83.76,250.96K,1.39%
01/18/23,84.98,86.45,87.85,84.36,288.15K,-1.09%
01/17/23,85.92,84.2,86.82,84.04,238.30K,1.73%
01/16/23,84.46,85.36,85.59,83.83,125.96K,-0.96%
01/13/23,85.28,83.91,85.5,83.5,217.40K,1.49%
01/12/23,84.03,82.88,84.62,82.37,264.07K,1.65%
01/11/23,82.67,79.52,83,79.31,273.79K,3.21%
01/10/23,80.1,79.54,80.89,78.81,244.35K,0.56%
01/09/23,79.65,78.42,81.37,78.42,245.12K,1.37%
01/06/23,78.57,78.8,80.59,78.05,215.42K,-0.15%
01/05/23,78.69,78.16,79.97,77.61,259.58K,1.09%
01/04/23,77.84,82.31,82.72,77.72,319.31K,-5.19%
01/03/23,82.1,85.96,87,81.78,302.86K,-4.43%
12/30/22,85.91,83.71,86,82.88,168.65K,4.44%
12/29/22,82.26,82.88,83.14,81.28,10.99K,-1.20%
12/28/22,83.26,84.6,84.76,81.92,57.56K,-1.68%
12/27/22,84.68,85,86.1,84.19,160.09K,0.21%
12/23/22,84.5,82.32,84.7,81.83,180.40K,3.47%
12/22/22,81.67,82.93,84.21,81.35,211.18K,-1.10%
12/21/22,82.58,80.53,82.92,80.06,178.09K,2.55%
12/20/22,80.53,80.6,81.19,79,184.12K,0.49%
12/19/22,80.14,79.49,81.19,79.02,164.92K,0.82%
12/16/22,79.49,81.44,81.87,78.76,236.09K,-2.25%
12/15/22,81.32,82.84,83.18,80.92,162.08K,-1.73%
12/14/22,82.75,80.53,83.22,80.31,178.26K,2.34%
12/13/22,80.86,78.53,81.34,78.41,201.46K,3.22%
12/12/22,78.34,77.34,78.89,75.67,158.37K,2.27%
12/09/22,76.6,77.15,77.81,75.64,157.00K,0.01%
12/08/22,76.59,77.9,79.49,76.19,209.68K,-1.29%
12/07/22,77.59,80.07,80.79,77.32,207.04K,-2.61%
12/06/22,79.67,83.19,83.69,79.05,225.87K,-3.62%
12/05/22,82.66,85.7,88.2,82.53,193.04K,-3.38%
12/02/22,85.55,86.69,87.68,85.17,141.36K,-1.53%
12/01/22,86.88,86.78,89.37,86.26,229.13K,1.70%
11/30/22,85.43,83.77,85.67,83.61,9.05K,2.89%
11/29/22,83.03,82.41,86,82.39,67.93K,-0.19%
11/28/22,83.19,83.58,84.1,80.61,102.56K,-0.53%
11/25/22,83.63,85.5,86.87,83.59,85.31K,-2.00%
11/24/22,85.34,85.04,85.54,83.9,75.61K,-0.08%
11/23/22,85.41,88.47,89.56,84.12,212.14K,-3.34%
11/22/22,88.36,87.76,89.9,87.35,190.85K,1.04%
11/21/22,87.45,87.74,87.98,82.31,354.60K,-0.19%
